time_s,pos_x_m,pos_z_m,heading_deg,chassis_speed_mps,chassis_accel_mps2,camera_top_speed_mps,camera_top_accel_mps2,camera_top_jerk_mps3,angular_speed_degps
2.84,0.694647,0.3,-90,0.412326,0.596345,0.412326,0.596348,1.98007,6.45347E-05
2.86,0.686622,0.3,-90,0.401238,0.554419,0.401238,0.554417,2.09652,6.39328E-05
2.88,0.678802,0.3,-90,0.391028,0.51051,0.391028,0.51051,2.19539,6.04404E-05
2.9,0.671167,0.3,-90,0.381726,0.46507,0.381726,0.465068,2.27206,6.00458E-05
2.92,0.6637,0.3,-90,0.373356,0.418495,0.373356,0.418493,2.32875,5.84614E-05
2.94,0.656382,0.3,-90,0.365931,0.371286,0.365931,0.371289,2.3602,5.82288E-05
2.96,0.649193,0.3,-90,0.359452,0.323942,0.359452,0.323942,2.36735,5.75092E-05
2.98,0.642114,0.3,-90,0.353912,0.276976,0.353912,0.276977,2.34828,5.73807E-05
3,0.635128,0.3,-90,0.349292,0.230992,0.349292,0.23099,2.29933,5.70541E-05
3.02,0.628217,0.3,-90,0.345562,0.186536,0.345562,0.186534,2.22281,5.69865E-05
3.04,0.621364,0.3,-90,0.342676,0.144291,0.342676,0.144293,2.11209,5.68391E-05
3.06,0.614552,0.3,-90,0.340578,0.104886,0.340578,0.104885,1.97038,5.68053E-05
3.08,0.607768,0.3,-90,0.339198,0.0690133,0.339198,0.0690133,1.79358,5.67396E-05
3.1,0.600999,0.3,-90,0.33845,0.0374124,0.33845,0.0374139,1.57997,5.6724E-05
3.12,0.594235,0.3,-90,0.338233,0.0108183,0.338233,0.0108197,1.32971,5.66957E-05
3.14,0.587466,0.3,-90,0.338433,0.00996441,0.338432,0.00995845,1.03891,5.66895E-05
3.16,0.580688,0.3,-89.9999,0.338916,0.0241533,0.338916,0.0241622,0.71019,0.0032716
3.18,0.573896,0.3,-89.9965,0.339559,0.0321418,0.339559,0.0321597,0.399876,0.17126
3.2,0.567091,0.300001,-89.9843,0.340293,0.0367037,0.340293,0.0366841,0.227774,0.609833
3.22,0.560269,0.300002,-89.9563,0.341069,0.0388874,0.341069,0.0388887,0.135312,1.40137
3.24,0.553432,0.300005,-89.9043,0.34186,0.0399057,0.34186,0.0399026,0.16442,2.59826
3.26,0.546579,0.300013,-89.8196,0.342645,0.0406966,0.342645,0.0406983,0.258635,4.23517
3.28,0.539711,0.300027,-89.693,0.343415,0.0425021,0.343415,0.0425011,0.375332,6.33017
3.3,0.532828,0.300054,-89.5152,0.344162,0.0466401,0.344162,0.0466415,0.502965,8.88841
3.32,0.52593,0.300096,-89.2772,0.34488,0.0541941,0.34488,0.0541948,0.637794,11.9046
3.34,0.519019,0.300161,-88.9698,0.345569,0.0656495,0.345569,0.0656502,0.775758,15.3654
3.36,0.512095,0.300255,-88.5849,0.346226,0.0809446,0.346226,0.0809413,0.914538,19.249
3.38,0.505159,0.300388,-88.1143,0.346852,0.0997721,0.346852,0.099774,1.05117,23.5301
3.4,0.498213,0.300568,-87.5508,0.347447,0.121802,0.347447,0.121801,1.1828,28.1744
3.42,0.491257,0.300806,-86.8878,0.348013,0.146695,0.348013,0.146697,1.30849,33.1497
3.44,0.484292,0.301113,-86.1195,0.348552,0.174173,0.348552,0.174172,1.42554,38.4118
3.46,0.477322,0.301502,-85.2411,0.349068,0.203925,0.349068,0.203924,1.53314,43.9246
3.48,0.470347,0.301985,-84.2483,0.349565,0.2357,0.349565,0.235704,1.63111,49.6362
3.5,0.463371,0.302575,-83.1382,0.350049,0.269178,0.350049,0.269177,1.71591,55.5094
3.52,0.456397,0.303287,-81.9084,0.350527,0.304121,0.350527,0.30412,1.79147,61.4868
3.54,0.449428,0.304135,-80.5578,0.351006,0.340193,0.351006,0.340192,1.85374,67.5301
3.56,0.44247,0.305134,-79.0862,0.351494,0.377158,0.351494,0.37716,1.90601,73.5809
3.58,0.435526,0.306297,-77.4942,0.352001,0.414672,0.352001,0.414673,1.94577,79.5993
3.6,0.428605,0.307641,-75.7836,0.352536,0.452506,0.352536,0.452505,1.97706,85.5288
3.62,0.421712,0.309178,-73.957,0.353109,0.490322,0.353109,0.490324,1.99814,91.3289
3.64,0.414856,0.310924,-72.0181,0.353729,0.527884,0.35373,0.527884,2.0118,96.9468
3.66,0.408046,0.31289,-69.9712,0.354408,0.564886,0.354408,0.564882,2.01954,102.343
3.68,0.401293,0.31509,-67.8219,0.355152,0.601081,0.355152,0.601084,2.02166,107.469
3.7,0.394606,0.317536,-65.5761,0.35597,0.636195,0.35597,0.636195,2.02046,112.287
3.72,0.388,0.320238,-63.241,0.35687,0.669976,0.35687,0.669977,2.01788,116.758
3.74,0.381487,0.323204,-60.8241,0.357855,0.70218,0.357855,0.702179,2.01474,120.845
3.76,0.375081,0.326443,-58.3337,0.35893,0.732558,0.35893,0.732557,2.01195,124.515
3.78,0.368796,0.329961,-55.779,0.360095,0.760887,0.360095,0.760887,2.01174,127.739
3.8,0.36265,0.333763,-53.1692,0.361348,0.786926,0.361348,0.786926,2.01453,130.491
3.82,0.356657,0.337849,-50.5142,0.362688,0.81048,0.362688,0.810482,2.01886,132.747
3.84,0.350834,0.342222,-47.8244,0.364107,0.831321,0.364107,0.83132,2.02815,134.49
